ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
250,3,2023,2541,1,1,Monday,No,Before School,Arlington,TX,Suburban,High,Front of School,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Unknown,No,No evidence of,No evidence of,Yes,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,Yes,Yes
94,4,2014,220,1,0,Monday,Yes,After School,Griffith,IN,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Latino,Parent,Suicide,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
261,7,2023,2085,1,0,Sunday,No,Night,Hampton,GA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,None,Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,No evidence of
79,5,2012,2445,1,0,Friday,No,School Event,Avondale,AZ,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,Parent,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
108,5,2016,2426,3,3,Thursday,No,After School,Beltsville,MD,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,Yes,Yes,Asian,None,Fled & Later Apprehended,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,Yes,No evidence of,Yes
160,12,2019,1641,1,0,Thursday,No,Evening,Naples,FL,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
188,4,2021,550,1,0,Sunday,No,Night,Hammond,IN,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
259,7,2023,885,1,0,Friday,No,Evening,Pikesville,MD,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
90,12,2013,2250,1,0,Friday,Yes,Lunch,Centennial,CO,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,Yes,Yes,White,Student,Suicide,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes,Yes
99,10,2014,1139,4,3,Friday,Yes,Lunch,Marysville,WA,Suburban,High,Cafeteria,Inside School Building,Yes,No evidence of,Yes,No evidence of,Retaliation,No,No evidence of,Yes,Yes,Native American,Student,Suicide,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,Yes,Yes
2,3,2001,1392,2,13,Monday,Yes,Morning Classes,Santee,CA,Suburban,High,Bathroom,Inside School Building,Yes,No evidence of,Yes,Yes,Retaliation,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes
91,2,2014,8054,1,0,Thursday,Yes,Morning Classes,Kansas City,MO,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,Yes,Black,None,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
35,12,2005,1989,1,0,Tuesday,No,After School,Garden Grove,CA,Suburban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,Yes,Latino,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
121,2,2018,3567,17,17,Wednesday,Yes,Afternoon Classes,Parkland,FL,Suburban,High,Hallway,Inside School Building,Yes,Yes,Yes,Yes,Retaliation,No,No evidence of,Yes,Yes,White,Former Student,Fled & Later Apprehended,No evidence of,Yes,No evidence of,Yes,Yes,Yes,Yes,Yes,No evidence of,No evidence of,Yes,Yes,Yes,Yes,Yes,Yes,Yes
133,8,2018,1329,1,2,Friday,No,Sport Event,Jacksonville,FL,Suburban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N20,9,2004,557,1,0,Tuesday,Yes,Morning Classes,Memphis,TN,Suburban,High,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Gang related,No,Yes,No evidence of,No evidence of,Unknown,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
66,10,2009,2973,1,0,Friday,Yes,Morning Classes,Conway,SC,Suburban,High,Inside School Building,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,White,Other,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
209,12,2021,1788,1,0,Tuesday,No,Sport Event,Newport News,VA,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
171,9,2020,1084,1,0,Thursday,No,Not a School Day,Albany,GA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Mental Health,No,No evidence of,No evidence of,No evidence of,Unknown,None,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N17,3,2004,2176,1,0,Monday,No,Night,Pharr,TX,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Mental Health,No,No evidence of,No evidence of,Yes,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
124,5,2018,2156,10,13,Friday,Yes,Morning Classes,Santa Fe,TX,Suburban,High,Classroom,Inside School Building,Yes,Yes,Yes,Unknown,Mental Health,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes
205,11,2021,1690,4,7,Tuesday,Yes,Afternoon Classes,Oxford,MI,Suburban,High,Inside School Building,Inside School Building,Yes,No evidence of,Yes,Yes,Mental Health,No,No evidence of,Yes,Yes,White,Student,Apprehended,No evidence of,Yes,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,Yes
153,9,2019,1043,2,0,Monday,Yes,Morning Classes,Hampton,VA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Mental Health,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N45,10,2013,1043,1,0,Tuesday,No,After School,Danvers,MA,Suburban,High,Restroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Sexual Assault,No,No evidence of,No evidence of,Yes,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
266,9,2023,1314,1,0,Friday,No,Sport Event,Country Club Hills,IL,Suburban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,Unknown,Unknown,No evidence of,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
201,8,2021,1275,1,4,Friday,No,Sport Event,Sharon Hill,PA,Suburban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,Unknown,Unknown,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Black,None,Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N24,8,2005,1873,1,0,Monday,No,Dismissal,West Valley City,UT,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
61,12,2008,1238,1,1,Tuesday,No,Sport Event,King City,CA,Suburban,High,Field (General),Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
157,11,2019,893,1,2,Friday,No,Sport Event,Pleasantville,NJ,Suburban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,Unknown,Unknown,Accident/Negligence,No,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
23,8,2004,1835,1,0,Monday,No,Dismissal,Maywood,IL,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,No evidence of,Latino,None,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N13,9,2003,1536,1,0,Friday,No,Dismissal,Orange Park,FL,Suburban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes
N30,1,2007,1613,1,0,Friday,Yes,Morning Classes,Sudbury,MA,Suburban,High,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N36,9,2009,3345,1,0,Tuesday,Yes,Morning Classes,Coral Gables,FL,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N41,1,2012,205,1,0,Thursday,No,Dismissal,Albuquerque,NM,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N46,11,2013,2348,1,0,Wednesday,Yes,Morning Classes,New Braunfels,TX,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N47,4,2014,834,1,0,Friday,Yes,Morning Classes,Milford,CT,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
N50,9,2014,1399,1,0,Friday,Yes,Lunch,Council Bluffs,IA,Suburban,High,Cafeteria,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,White,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
139,10,2018,2121,1,0,Monday,Yes,Morning Classes,Matthews,NC,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
195,6,2021,1485,1,0,Saturday,No,Night,Florissant,MO,Suburban,High,Outside on School Property,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Yes,Black,Former Student,Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N65,11,2021,1199,1,1,Wednesday,No,Dismissal,Springfield,IL,Suburban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N70,9,2022,1097,1,1,Friday,No,Before School,Jacksonville,NC,Suburban,High,Hallway,Inside School Building,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,N/A,No evidence of,N/A,No evidence of,Unknown,Student,Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of
273,10,2023,465,1,1,Friday,No,Sport Event,Donaldsonville,LA,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Black,None,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N75,11,2023,1401,1,1,Monday,Yes,Morning Classes,Raleigh,NC,Suburban,High,Gym,Inside School Building,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,N/A,No evidence of,N/A,Yes,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of
263,8,2023,1717,1,3,Friday,No,Sport Event,Choctaw,OK,Suburban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,Unknown,Unknown,Escalation of a Dispute,No,Unknown,No evidence of,No evidence of,Black,Student,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
13,9,2003,794,1,0,Wednesday,Yes,Afternoon Classes,Vicksburg,MS,Suburban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N16,2,2004,940,1,0,Friday,No,Night,Kansas City,MO,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
36,5,2006,514,1,0,Friday,No,School Event,Miramar,FL,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
41,8,2006,1510.5,1,0,Saturday,No,Not a School Day,Youngstown,OH,Suburban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Other,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N34,4,2008,2561,1,0,Tuesday,No,Dismissal,Riverdale,MD,Suburban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,Yes,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes
60,11,2008,1056,1,0,Saturday,No,Night,Loveland,CO,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N56,4,2017,1389,1,0,Friday,Yes,Morning Classes,Kenosha,WI,Suburban,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
144,2,2019,3063,1,0,Sunday,No,Not a School Day,Aurora,CO,Suburban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
164,1,2020,1908,1,0,Friday,No,Sport Event,Antioch,CA,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,No evidence of,Black,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
185,3,2021,2182,1,1,Monday,No,Night,Merrillville,IN,Suburban,High,Parking Lot,Outside on School Property,Yes,No evidence of,Unknown,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
215,2,2022,1146,1,1,Tuesday,No,After School,Houston,TX,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,Unknown,Unknown,Robbery,No,Unknown,No evidence of,Yes,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
37,6,2006,2700,1,0,Monday,No,Dismissal,Los Angeles,CA,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
51,8,2007,775,3,1,Saturday,No,Not a School Day,Newark,NJ,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N33,1,2008,1866,1,0,Friday,No,After School,Hempstead,NY,Urban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
81,10,2012,241,1,0,Friday,No,After School,Chicago,IL,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
165,2,2020,650,1,0,Saturday,No,Sport Event,Washington,DC,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
193,5,2021,1669,1,0,Friday,No,Night,San Mateo,CA,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
200,8,2021,54,1,0,Tuesday,No,Night,Denver,CO,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,White,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
270,10,2023,648,1,0,Wednesday,No,Evening,Miami,FL,Urban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Black,None,Killed,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
